Choose a page replacement algorithm:
Press 1 for FIFO
Press 2 for LRU
Press 3 for Second Chance
Your choice: 
Option chosen: 1
Choose page frame size:
Press 1 for 4-page frames
Press 2 for 8-page frames
Your choice: 
option chosen: 1
Running FIFO:
timestamp: 1647296356218895, page:  9, pagefault: 1
timestamp: 1647296356218899, page: 15, pagefault: 1
timestamp: 1647296356218900, page:  6, pagefault: 1
timestamp: 1647296356218910, page:  8, pagefault: 1
timestamp: 1647296356218911, page:  3, pagefault: 1
timestamp: 1647296356218912, page: 15, pagefault: 0
timestamp: 1647296356218913, page: 11, pagefault: 1
timestamp: 1647296356218915, page: 12, pagefault: 1
timestamp: 1647296356218916, page:  5, pagefault: 1
timestamp: 1647296356218917, page:  7, pagefault: 1
timestamp: 1647296356218918, page:  7, pagefault: 0
timestamp: 1647296356218919, page:  8, pagefault: 1
timestamp: 1647296356218920, page:  6, pagefault: 1
timestamp: 1647296356218921, page: 15, pagefault: 1
timestamp: 1647296356218922, page: 13, pagefault: 1
timestamp: 1647296356218923, page: 12, pagefault: 1
timestamp: 1647296356218924, page: 11, pagefault: 1
timestamp: 1647296356218925, page: 10, pagefault: 1
timestamp: 1647296356218926, page: 11, pagefault: 0
timestamp: 1647296356218927, page: 14, pagefault: 1
timestamp: 1647296356218928, page:  1, pagefault: 1
timestamp: 1647296356218929, page:  2, pagefault: 1
timestamp: 1647296356218930, page:  5, pagefault: 1
timestamp: 1647296356218931, page:  2, pagefault: 0
timestamp: 1647296356218944, page:  4, pagefault: 1
timestamp: 1647296356218945, page: 14, pagefault: 1
timestamp: 1647296356218946, page:  5, pagefault: 0
timestamp: 1647296356218947, page:  3, pagefault: 1
timestamp: 1647296356218948, page: 15, pagefault: 1
timestamp: 1647296356218949, page:  8, pagefault: 1
timestamp: 1647296356218950, page: 15, pagefault: 0
timestamp: 1647296356218951, page: 12, pagefault: 1
timestamp: 1647296356218952, page: 15, pagefault: 0
timestamp: 1647296356218953, page:  0, pagefault: 1
timestamp: 1647296356218954, page:  3, pagefault: 1
timestamp: 1647296356218955, page:  0, pagefault: 0
timestamp: 1647296356218956, page: 10, pagefault: 1
timestamp: 1647296356218957, page: 15, pagefault: 1
timestamp: 1647296356218958, page:  3, pagefault: 0
timestamp: 1647296356218959, page:  2, pagefault: 1
timestamp: 1647296356218960, page:  8, pagefault: 1
timestamp: 1647296356218961, page:  2, pagefault: 0
timestamp: 1647296356218962, page: 11, pagefault: 1
timestamp: 1647296356218963, page:  1, pagefault: 1
timestamp: 1647296356218965, page:  5, pagefault: 1
timestamp: 1647296356218966, page:  1, pagefault: 0
timestamp: 1647296356218967, page: 15, pagefault: 1
timestamp: 1647296356218968, page:  8, pagefault: 1
timestamp: 1647296356218969, page:  5, pagefault: 0
timestamp: 1647296356218970, page:  7, pagefault: 1
timestamp: 1647296356218971, page:  5, pagefault: 0
timestamp: 1647296356218972, page:  7, pagefault: 0
timestamp: 1647296356218973, page:  3, pagefault: 1
timestamp: 1647296356218974, page:  4, pagefault: 1
timestamp: 1647296356218975, page: 15, pagefault: 1
timestamp: 1647296356218976, page: 15, pagefault: 0
timestamp: 1647296356218977, page:  7, pagefault: 0
timestamp: 1647296356218978, page:  6, pagefault: 1
timestamp: 1647296356218979, page: 11, pagefault: 1
timestamp: 1647296356218980, page:  8, pagefault: 1
timestamp: 1647296356218981, page:  1, pagefault: 1
timestamp: 1647296356218982, page:  9, pagefault: 1
timestamp: 1647296356218983, page: 10, pagefault: 1
timestamp: 1647296356218984, page:  1, pagefault: 0
timestamp: 1647296356218985, page:  2, pagefault: 1
timestamp: 1647296356218986, page:  9, pagefault: 0
timestamp: 1647296356218987, page:  2, pagefault: 0
timestamp: 1647296356218988, page:  4, pagefault: 1
timestamp: 1647296356218988, page: 14, pagefault: 1
timestamp: 1647296356218989, page:  0, pagefault: 1
timestamp: 1647296356218990, page: 13, pagefault: 1
timestamp: 1647296356218991, page:  6, pagefault: 1
timestamp: 1647296356218992, page:  4, pagefault: 1
timestamp: 1647296356218993, page: 11, pagefault: 1
timestamp: 1647296356218994, page: 14, pagefault: 1
timestamp: 1647296356219036, page:  2, pagefault: 1
timestamp: 1647296356219037, page: 14, pagefault: 0
timestamp: 1647296356219038, page: 12, pagefault: 1
timestamp: 1647296356219039, page: 13, pagefault: 1
timestamp: 1647296356219040, page:  1, pagefault: 1
timestamp: 1647296356219040, page: 10, pagefault: 1
timestamp: 1647296356219041, page: 11, pagefault: 1
timestamp: 1647296356219042, page:  1, pagefault: 0
timestamp: 1647296356219043, page: 10, pagefault: 0
timestamp: 1647296356219044, page: 15, pagefault: 1
timestamp: 1647296356219045, page:  5, pagefault: 1
timestamp: 1647296356219046, page:  0, pagefault: 1
timestamp: 1647296356219047, page:  1, pagefault: 1
timestamp: 1647296356219048, page:  2, pagefault: 1
timestamp: 1647296356219049, page:  2, pagefault: 0
timestamp: 1647296356219050, page: 10, pagefault: 1
timestamp: 1647296356219051, page: 13, pagefault: 1
timestamp: 1647296356219052, page:  4, pagefault: 1
timestamp: 1647296356219053, page:  7, pagefault: 1
timestamp: 1647296356219054, page: 12, pagefault: 1
timestamp: 1647296356219055, page: 12, pagefault: 0
timestamp: 1647296356219056, page: 12, pagefault: 0
timestamp: 1647296356219057, page: 12, pagefault: 0
timestamp: 1647296356219058, page:  2, pagefault: 1
timestamp: 1647296356219060, page:  6, pagefault: 1
total pagefaults: 74
Choose a page replacement algorithm:
Press 1 for FIFO
Press 2 for LRU
Press 3 for Second Chance
Your choice: 
Option chosen: 2
Choose page frame size:
Press 1 for 4-page frames
Press 2 for 8-page frames
Your choice: 
option chosen: 1
Running LRU:
timestamp: 1647296371136099, page:  9, pagefault: 1
timestamp: 1647296371136103, page: 15, pagefault: 1
timestamp: 1647296371136104, page:  6, pagefault: 1
timestamp: 1647296371136105, page:  8, pagefault: 1
timestamp: 1647296371136106, page:  3, pagefault: 1
timestamp: 1647296371136107, page: 15, pagefault: 0
timestamp: 1647296371136109, page: 11, pagefault: 1
timestamp: 1647296371136110, page: 12, pagefault: 1
timestamp: 1647296371136111, page:  5, pagefault: 1
timestamp: 1647296371136112, page:  7, pagefault: 1
timestamp: 1647296371136113, page:  7, pagefault: 0
timestamp: 1647296371136114, page:  8, pagefault: 1
timestamp: 1647296371136115, page:  6, pagefault: 1
timestamp: 1647296371136116, page: 15, pagefault: 1
timestamp: 1647296371136118, page: 13, pagefault: 1
timestamp: 1647296371136119, page: 12, pagefault: 1
timestamp: 1647296371136120, page: 11, pagefault: 1
timestamp: 1647296371136121, page: 10, pagefault: 1
timestamp: 1647296371136122, page: 11, pagefault: 0
timestamp: 1647296371136123, page: 14, pagefault: 1
timestamp: 1647296371136124, page:  1, pagefault: 1
timestamp: 1647296371136125, page:  2, pagefault: 1
timestamp: 1647296371136126, page:  5, pagefault: 1
timestamp: 1647296371136127, page:  2, pagefault: 0
timestamp: 1647296371136128, page:  4, pagefault: 1
timestamp: 1647296371136129, page: 14, pagefault: 1
timestamp: 1647296371136130, page:  5, pagefault: 0
timestamp: 1647296371136131, page:  3, pagefault: 1
timestamp: 1647296371136132, page: 15, pagefault: 1
timestamp: 1647296371136133, page:  8, pagefault: 1
timestamp: 1647296371136134, page: 15, pagefault: 0
timestamp: 1647296371136135, page: 12, pagefault: 1
timestamp: 1647296371136136, page: 15, pagefault: 0
timestamp: 1647296371136137, page:  0, pagefault: 1
timestamp: 1647296371136138, page:  3, pagefault: 1
timestamp: 1647296371136139, page:  0, pagefault: 0
timestamp: 1647296371136140, page: 10, pagefault: 1
timestamp: 1647296371136141, page: 15, pagefault: 0
timestamp: 1647296371136142, page:  3, pagefault: 0
timestamp: 1647296371136143, page:  2, pagefault: 1
timestamp: 1647296371136144, page:  8, pagefault: 1
timestamp: 1647296371136146, page:  2, pagefault: 0
timestamp: 1647296371136147, page: 11, pagefault: 1
timestamp: 1647296371136148, page:  1, pagefault: 1
timestamp: 1647296371136149, page:  5, pagefault: 1
timestamp: 1647296371136150, page:  1, pagefault: 0
timestamp: 1647296371136151, page: 15, pagefault: 1
timestamp: 1647296371136152, page:  8, pagefault: 1
timestamp: 1647296371136153, page:  5, pagefault: 0
timestamp: 1647296371136154, page:  7, pagefault: 1
timestamp: 1647296371136155, page:  5, pagefault: 0
timestamp: 1647296371136156, page:  7, pagefault: 0
timestamp: 1647296371136156, page:  3, pagefault: 1
timestamp: 1647296371136157, page:  4, pagefault: 1
timestamp: 1647296371136159, page: 15, pagefault: 1
timestamp: 1647296371136160, page: 15, pagefault: 0
timestamp: 1647296371136161, page:  7, pagefault: 0
timestamp: 1647296371136162, page:  6, pagefault: 1
timestamp: 1647296371136163, page: 11, pagefault: 1
timestamp: 1647296371136164, page:  8, pagefault: 1
timestamp: 1647296371136165, page:  1, pagefault: 1
timestamp: 1647296371136166, page:  9, pagefault: 1
timestamp: 1647296371136168, page: 10, pagefault: 1
timestamp: 1647296371136169, page:  1, pagefault: 0
timestamp: 1647296371136171, page:  2, pagefault: 1
timestamp: 1647296371136172, page:  9, pagefault: 0
timestamp: 1647296371136173, page:  2, pagefault: 0
timestamp: 1647296371136175, page:  4, pagefault: 1
timestamp: 1647296371136176, page: 14, pagefault: 1
timestamp: 1647296371136178, page:  0, pagefault: 1
timestamp: 1647296371136179, page: 13, pagefault: 1
timestamp: 1647296371136181, page:  6, pagefault: 1
timestamp: 1647296371136182, page:  4, pagefault: 1
timestamp: 1647296371136184, page: 11, pagefault: 1
timestamp: 1647296371136185, page: 14, pagefault: 1
timestamp: 1647296371136272, page:  2, pagefault: 1
timestamp: 1647296371136274, page: 14, pagefault: 0
timestamp: 1647296371136276, page: 12, pagefault: 1
timestamp: 1647296371136277, page: 13, pagefault: 1
timestamp: 1647296371136279, page:  1, pagefault: 1
timestamp: 1647296371136280, page: 10, pagefault: 1
timestamp: 1647296371136282, page: 11, pagefault: 1
timestamp: 1647296371136284, page:  1, pagefault: 0
timestamp: 1647296371136285, page: 10, pagefault: 0
timestamp: 1647296371136287, page: 15, pagefault: 1
timestamp: 1647296371136289, page:  5, pagefault: 1
