Choose a page replacement algorithm:
Press 1 for FIFO
Press 2 for LRU
Press 3 for Second Chance
Your choice: 
Option chosen: 1
Choose page frame size:
Press 1 for 4-page frames
Press 2 for 8-page frames
Your choice: 
option chosen: 2
Running FIFO:
timestamp: 1647296396076756, page: 15, pagefault: 0
timestamp: 1647296396076757, page: 13, pagefault: 1
timestamp: 1647296396076758, page: 12, pagefault: 0
timestamp: 1647296396076759, page: 11, pagefault: 0
timestamp: 1647296396076760, page: 10, pagefault: 1
timestamp: 1647296396076761, page: 11, pagefault: 0
timestamp: 1647296396076762, page: 14, pagefault: 1
timestamp: 1647296396076764, page:  1, pagefault: 1
timestamp: 1647296396076765, page:  2, pagefault: 1
timestamp: 1647296396076766, page:  5, pagefault: 1
timestamp: 1647296396076767, page:  2, pagefault: 0
timestamp: 1647296396076768, page:  4, pagefault: 1
timestamp: 1647296396076769, page: 14, pagefault: 0
timestamp: 1647296396076770, page:  5, pagefault: 0
timestamp: 1647296396076771, page:  3, pagefault: 1
timestamp: 1647296396076772, page: 15, pagefault: 1
timestamp: 1647296396076773, page:  8, pagefault: 1
timestamp: 1647296396076774, page: 15, pagefault: 0
timestamp: 1647296396076775, page: 12, pagefault: 1
timestamp: 1647296396076776, page: 15, pagefault: 0
timestamp: 1647296396076778, page:  0, pagefault: 1
timestamp: 1647296396076779, page:  3, pagefault: 0
timestamp: 1647296396076780, page:  0, pagefault: 0
timestamp: 1647296396076781, page: 10, pagefault: 1
timestamp: 1647296396076782, page: 15, pagefault: 0
timestamp: 1647296396076783, page:  3, pagefault: 0
timestamp: 1647296396076784, page:  2, pagefault: 1
timestamp: 1647296396076785, page:  8, pagefault: 0
timestamp: 1647296396076786, page:  2, pagefault: 0
timestamp: 1647296396076787, page: 11, pagefault: 1
timestamp: 1647296396076788, page:  1, pagefault: 1
timestamp: 1647296396076789, page:  5, pagefault: 1
timestamp: 1647296396076790, page:  1, pagefault: 0
timestamp: 1647296396076791, page: 15, pagefault: 0
timestamp: 1647296396076792, page:  8, pagefault: 0
timestamp: 1647296396076793, page:  5, pagefault: 0
timestamp: 1647296396076794, page:  7, pagefault: 1
timestamp: 1647296396076795, page:  5, pagefault: 0
timestamp: 1647296396076796, page:  7, pagefault: 0
timestamp: 1647296396076797, page:  3, pagefault: 0
timestamp: 1647296396076798, page:  4, pagefault: 1
timestamp: 1647296396076799, page: 15, pagefault: 0
timestamp: 1647296396076800, page: 15, pagefault: 0
timestamp: 1647296396076801, page:  7, pagefault: 0
timestamp: 1647296396076802, page:  6, pagefault: 1
timestamp: 1647296396076803, page: 11, pagefault: 1
timestamp: 1647296396076805, page:  8, pagefault: 0
timestamp: 1647296396076806, page:  1, pagefault: 1
timestamp: 1647296396076807, page:  9, pagefault: 1
timestamp: 1647296396076808, page: 10, pagefault: 1
timestamp: 1647296396076809, page:  1, pagefault: 0
timestamp: 1647296396076810, page:  2, pagefault: 1
timestamp: 1647296396076811, page:  9, pagefault: 0
timestamp: 1647296396076812, page:  2, pagefault: 0
timestamp: 1647296396076813, page:  4, pagefault: 1
timestamp: 1647296396076815, page: 14, pagefault: 1
timestamp: 1647296396076816, page:  0, pagefault: 1
timestamp: 1647296396076817, page: 13, pagefault: 1
timestamp: 1647296396076818, page:  6, pagefault: 1
timestamp: 1647296396076819, page:  4, pagefault: 0
timestamp: 1647296396076820, page: 11, pagefault: 1
timestamp: 1647296396076821, page: 14, pagefault: 0
timestamp: 1647296396076872, page:  2, pagefault: 0
timestamp: 1647296396076873, page: 14, pagefault: 0
timestamp: 1647296396076874, page: 12, pagefault: 1
timestamp: 1647296396076875, page: 13, pagefault: 0
timestamp: 1647296396076876, page:  1, pagefault: 1
timestamp: 1647296396076877, page: 10, pagefault: 1
timestamp: 1647296396076879, page: 11, pagefault: 0
timestamp: 1647296396076880, page:  1, pagefault: 0
timestamp: 1647296396076881, page: 10, pagefault: 0
timestamp: 1647296396076882, page: 15, pagefault: 1
timestamp: 1647296396076883, page:  5, pagefault: 1
timestamp: 1647296396076884, page:  0, pagefault: 1
timestamp: 1647296396076885, page:  1, pagefault: 0
timestamp: 1647296396076886, page:  2, pagefault: 1
timestamp: 1647296396076887, page:  2, pagefault: 0
timestamp: 1647296396076888, page: 10, pagefault: 0
timestamp: 1647296396076889, page: 13, pagefault: 0
timestamp: 1647296396076890, page:  4, pagefault: 1
timestamp: 1647296396076891, page:  7, pagefault: 1
timestamp: 1647296396076892, page: 12, pagefault: 1
timestamp: 1647296396076894, page: 12, pagefault: 0
timestamp: 1647296396076896, page: 12, pagefault: 0
timestamp: 1647296396076896, page: 12, pagefault: 0
timestamp: 1647296396076896, page:  2, pagefault: 0
timestamp: 1647296396076900, page:  6, pagefault: 1
total pagefaults: 51
Choose a page replacement algorithm:
Press 1 for FIFO
Press 2 for LRU
Press 3 for Second Chance
Your choice: 
Option chosen: 3
Choose page frame size:
Press 1 for 4-page frames
Press 2 for 8-page frames
Your choice: 
option chosen: 2
Running Second Chance:
timestamp: 1647296399471383, page:  9, pagefault: 1
timestamp: 1647296399471387, page: 15, pagefault: 1
timestamp: 1647296399471389, page:  6, pagefault: 1
timestamp: 1647296399471390, page:  8, pagefault: 1
timestamp: 1647296399471391, page:  3, pagefault: 1
timestamp: 1647296399471392, page: 15, pagefault: 0
timestamp: 1647296399471393, page: 11, pagefault: 1
timestamp: 1647296399471394, page: 12, pagefault: 1
timestamp: 1647296399471395, page:  5, pagefault: 1
timestamp: 1647296399471396, page:  7, pagefault: 1
timestamp: 1647296399471397, page:  7, pagefault: 0
timestamp: 1647296399471399, page:  8, pagefault: 0
timestamp: 1647296399471400, page:  6, pagefault: 0
timestamp: 1647296399471401, page: 15, pagefault: 0
timestamp: 1647296399471402, page: 13, pagefault: 1
timestamp: 1647296399471403, page: 12, pagefault: 0
timestamp: 1647296399471404, page: 11, pagefault: 0
timestamp: 1647296399471405, page: 10, pagefault: 1
timestamp: 1647296399471406, page: 11, pagefault: 0
timestamp: 1647296399471407, page: 14, pagefault: 1
timestamp: 1647296399471408, page:  1, pagefault: 1
timestamp: 1647296399471409, page:  2, pagefault: 1
timestamp: 1647296399471410, page:  5, pagefault: 1
timestamp: 1647296399471411, page:  2, pagefault: 0
timestamp: 1647296399471412, page:  4, pagefault: 1
timestamp: 1647296399471413, page: 14, pagefault: 0
timestamp: 1647296399471414, page:  5, pagefault: 0
timestamp: 1647296399471415, page:  3, pagefault: 1
timestamp: 1647296399471416, page: 15, pagefault: 1
timestamp: 1647296399471417, page:  8, pagefault: 1
timestamp: 1647296399471418, page: 15, pagefault: 0
timestamp: 1647296399471418, page: 12, pagefault: 1
timestamp: 1647296399471420, page: 15, pagefault: 0
timestamp: 1647296399471421, page:  0, pagefault: 1
timestamp: 1647296399471422, page:  3, pagefault: 0
timestamp: 1647296399471423, page:  0, pagefault: 0
timestamp: 1647296399471424, page: 10, pagefault: 1
timestamp: 1647296399471425, page: 15, pagefault: 0
timestamp: 1647296399471426, page:  3, pagefault: 0
timestamp: 1647296399471427, page:  2, pagefault: 0
timestamp: 1647296399471428, page:  8, pagefault: 0
timestamp: 1647296399471429, page:  2, pagefault: 0
timestamp: 1647296399471430, page: 11, pagefault: 1
timestamp: 1647296399471431, page:  1, pagefault: 1
